Gene,Gene_ID,Gene_OMIM,Disease,Disease_OMIM,OMIM_PhenoClass,Gene_Degree,Disease_Degree,Gene_IC,Disease_IC,Combined_IC,Gene_Network_Score,Dis_Network_Score,PhenotypeClass,GMT_Confirmed,RevGMT_Confirmed,Probability_Score,Percentile,Rank_Gene_for_Disease,Rank_Disease_for_Gene
AFG3L2,10939,OMIM:604581,spinocerebellar ataxia 28,OMIM:610246,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
ITPR1,3708,OMIM:147265,spinocerebellar ataxia 15,OMIM:606658,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
ITPR1,3708,OMIM:147265,"spinocerebellar ataxia 29, congenital nonprogressive",OMIM:117360,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
SPTBN2,6712,OMIM:604985,spinocerebellar ataxia 5,OMIM:600224,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
SPTBN2,6712,OMIM:604985,"spinocerebellar ataxia, autosomal recessive 14",OMIM:615386,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
TPP1,1200,OMIM:607998,"spinocerebellar ataxia, autosomal recessive 7",OMIM:609270,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
WISP3,8838,OMIM:603400,"arthropathy, progressive pseudorheumatoid, of childhood",OMIM:208230,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
SYNE1,23345,OMIM:608441,"emery-dreifuss muscular dystrophy 4, autosomal dominant",OMIM:612998,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
SYNE1,23345,OMIM:608441,"spinocerebellar ataxia, autosomal recessive 8",OMIM:610743,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
WWOX,51741,OMIM:605131,"esophageal squamous cell carcinoma, somatic",OMIM:133239,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
WWOX,51741,OMIM:605131,"spinocrebellar ataxia, autosomal recessive 12",OMIM:614322,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
B3GALT6,126792,OMIM:615291,"ehlers-danlos syndrome, progeroid type, 2",OMIM:615349,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
B3GALT6,126792,OMIM:615291,"spondyloepimetaphyseal dysplasia with joint laxity, type 1, with or without fractures",OMIM:271640,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
MMP13,4322,OMIM:600108,metaphyseal anadysplasia 1,OMIM:602111,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
MMP13,4322,OMIM:600108,"spondyloepimetaphyseal dysplasia, missouri type",OMIM:602111,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
HRG,3273,OMIM:142640,thrombophilia due to hrg deficiency,OMIM:613116,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
PROC,5624,OMIM:612283,"thrombophilia due to protein c deficiency, autosomal dominant",OMIM:176860,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
PROC,5624,OMIM:612283,"thrombophilia due to protein c deficiency, autosomal recessive",OMIM:612304,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
MYH8,4626,OMIM:160741,carney complex variant,OMIM:608837,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
DLX3,1747,OMIM:600525,"amelogenesis imperfecta, type iv",OMIM:104510,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
DLX3,1747,OMIM:600525,trichodontoosseous syndrome,OMIM:190320,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
TRPS1,7227,OMIM:604386,"trichorhinophalangeal syndrome, type i",OMIM:190350,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
TRPS1,7227,OMIM:604386,"trichorhinophalangeal syndrome, type iii",OMIM:190351,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
NOTCH3,4854,OMIM:600276,cerebral arteriopathy with subcortical infarcts and leukoencephalopathy,OMIM:125310,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
NOTCH3,4854,OMIM:600276,"?myofibromatosis, infantile 2",OMIM:615293,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
APP,351,OMIM:104760,"cerebral amyloid angiopathy, dutch, italian, iowa, flemish, arctic variants",OMIM:605714,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
APP,351,OMIM:104760,"alzheimer disease 1, familial",OMIM:104300,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
MYH8,4626,OMIM:160741,trismus-pseudocamptodactyly syndrome,OMIM:158300,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
SAMHD1,25939,OMIM:606754,chilblain lupus 2,OMIM:614415,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
TSC2,7249,OMIM:191092,"lymphangioleiomyomatosis, somatic",OMIM:606690,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
TSC2,7249,OMIM:191092,tuberous sclerosis-2,OMIM:613254,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
HPD,3242,OMIM:609695,hawkinsinuria,OMIM:140350,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
HPD,3242,OMIM:609695,"tyrosinemia, type iii",OMIM:276710,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
WNT7A,7476,OMIM:601570,fuhrmann syndrome,OMIM:228930,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
WNT7A,7476,OMIM:601570,"ulna and fibula, absence of, with severe limb deficiency",OMIM:276820,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
USH1C,10083,OMIM:605242,"deafness, autosomal recessive 18a",OMIM:602092,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
USH1C,10083,OMIM:605242,"usher syndrome, type 1c",OMIM:276904,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
FUS,2521,OMIM:137070,"tremor, hereditary essential, 4",OMIM:614782,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
SERPINA3,12,OMIM:107280,alpha-1-antichymotrypsin deficiency,-666,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
SERPINA3,12,OMIM:107280,"cerebrovascular disease, occlusive",-666,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
FUS,2521,OMIM:137070,"amyotrophic lateral sclerosis 6, autosomal recessive, with or without frontotemporal dementia",OMIM:608030,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
SAMHD1,25939,OMIM:606754,aicardi-goutieres syndrome 5,OMIM:612952,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
PROS1,5627,OMIM:176880,"thrombophilia due to protein s deficiency, autosomal dominant",OMIM:612336,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
PROS1,5627,OMIM:176880,"thrombophilia due to protein s deficiency, autosomal recessive",OMIM:614514,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
CBS,875,OMIM:613381,"homocystinuria, b6-responsive and nonresponsive types",OMIM:236200,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
CBS,875,OMIM:613381,"thrombosis, hyperhomocysteinemic",OMIM:236200,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
REEP1,65055,OMIM:609139,"neuronopathy, distal hereditary motor, type vb",OMIM:614751,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
REEP1,65055,OMIM:609139,"spastic paraplegia 31, autosomal dominant",OMIM:610250,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
CACNA1C,775,OMIM:114205,brugada syndrome 3,OMIM:611875,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
CACNA1C,775,OMIM:114205,timothy syndrome,OMIM:601005,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
EDA,1896,OMIM:300451,"ectodermal dysplasia 1, hypohidrotic, x-linked",OMIM:305100,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
EDA,1896,OMIM:300451,"tooth agenesis, selective, x-linked 1",OMIM:313500,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
