drugbank_id,name,drug_class,atc_codes,moa,description,targets,safety_flags,pediatric_safe,pregnancy_category,routes,top_side_effects
DB00334,Olanzapine,,[],,,[],[],True,,[],[]
DB00335,Atenolol,,[],,,[],[],True,,[],[]
DB00343,Diltiazem,,[],,,[],[],True,,[],[]
DB00404,Alprazolam,,[],,,[],[],True,,[],[]
DB00412,Rosiglitazone,,[],,,[],[],True,,[],[]
DB00414,Acetohexamide,,[],,,[],[],True,,[],[]
DB00415,Ampicillin,,[],,,[],[],True,,[],[]
DB00421,Spironolactone,,[],,,[],[],True,,[],[]
DB00430,Cefpiramide,,[],,,[],[],True,,[],[]
DB00432,Trifluridine,,[],,,[],[],True,,[],[]
DB00454,Meperidine,,[],,,[],[],True,,[],[]
DB00456,Cefalotin,,[],,,[],[],True,,[],[]
DB00458,Imipramine,,[],,,[],[],True,,[],[]
DB00459,Acitretin,,[],,,[],[],True,,[],[]
DB00461,Nabumetone,,[],,,[],[],True,,[],[]
DB00472,Fluoxetine,,[],,,[],[],True,,[],[]
DB00476,Duloxetine,,[],,,[],[],True,,[],[]
DB00477,Chlorpromazine,,[],,,[],[],True,,[],[]
DB00481,Raloxifene,,[],,,[],[],True,,[],[]
DB00490,Buspirone,,[],,,[],[],True,,[],[]
DB00495,Zidovudine,,[],,,[],[],True,,[],[]
DB00497,Oxycodone,,[],,,[],[],True,,[],[]
DB00500,Tolmetin,,[],,,[],[],True,,[],[]
DB00503,Ritonavir,,[],,,[],[],True,,[],[]
DB00512,Vancomycin,,[],,,[],[],True,,[],[]
DB00515,Cisplatin,,[],,,[],[],True,,[],[]
DB00530,Erlotinib,,[],,,[],[],True,,[],[]
DB00537,Ciprofloxacin,,[],,,[],[],True,,[],[]
DB00540,Nortriptyline,,[],,,[],[],True,,[],[]
DB00544,Fluorouracil,,[],,,[],[],True,,[],[]
DB00554,Piroxicam,,[],,,[],[],True,,[],[]
DB00555,Lamotrigine,,[],,,[],[],True,,[],[]
DB00557,Hydroxyzine,,[],,,[],[],True,,[],[]
DB00563,Methotrexate,,[],,,[],[],True,,[],[]
DB00567,Cephalexin,,[],,,[],[],True,,[],[]
DB00571,Propranolol,,[],,,[],[],True,,[],[]
DB00573,Fenoprofen,,[],,,[],[],True,,[],[]
DB00575,Clonidine,,[],,,[],[],True,,[],[]
DB00576,Sulfamethizole,,[],,,[],[],True,,[],[]
DB00584,Enalapril,,[],,,[],[],True,,[],[]
DB00595,Oxytetracycline,,[],,,[],[],True,,[],[]
DB00598,Labetalol,,[],,,[],[],True,,[],[]
DB00603,Medroxyprogesterone acetate,,[],,,[],[],True,,[],[]
DB00605,Sulindac,,[],,,[],[],True,,[],[]
DB00607,Nafcillin,,[],,,[],[],True,,[],[]
DB00608,Chloroquine,,[],,,[],[],True,,[],[]
DB00619,Imatinib,,[],,,[],[],True,,[],[]
DB00624,Testosterone,,[],,,[],[],True,,[],[]
DB00625,Efavirenz,,[],,,[],[],True,,[],[]
DB00649,Stavudine,,[],,,[],[],True,,[],[]
DB00655,Estrone,,[],,,[],[],True,,[],[]
DB00661,Verapamil,,[],,,[],[],True,,[],[]
DB00675,Tamoxifen,,[],,,[],[],True,,[],[]
DB00677,Isoflurophate,,[],,,[],[],True,,[],[]
DB00678,Losartan,,[],,,[],[],True,,[],[]
DB00682,Warfarin,,[],,,[],[],True,,[],[]
DB00695,Furosemide,,[],,,[],[],True,,[],[]
DB00709,Lamivudine,,[],,,[],[],True,,[],[]
DB00712,Flurbiprofen,,[],,,[],[],True,,[],[]
DB00714,Apomorphine,,[],,,[],[],True,,[],[]
DB00717,Norethisterone,,[],,,[],[],True,,[],[]
DB00731,Nateglinide,,[],,,[],[],True,,[],[]
DB00734,Risperidone,,[],,,[],[],True,,[],[]
DB00737,Meclizine,,[],,,[],[],True,,[],[]
DB00743,Gadobenic acid,,[],,,[],[],True,,[],[]
DB00744,Zileuton,,[],,,[],[],True,,[],[]
DB00749,Etodolac,,[],,,[],[],True,,[],[]
DB00753,Isoflurane,,[],,,[],[],True,,[],[]
DB00755,Tretinoin,,[],,,[],[],True,,[],[]
DB00759,Tetracycline,,[],,,[],[],True,,[],[]
DB00762,Irinotecan,,[],,,[],[],True,,[],[]
DB00768,Olopatadine,,[],,,[],[],True,,[],[]
DB00774,Hydroflumethiazide,,[],,,[],[],True,,[],[]
DB00776,Oxcarbazepine,,[],,,[],[],True,,[],[]
DB00783,Estradiol,,[],,,[],[],True,,[],[]
DB00784,Mefenamic acid,,[],,,[],[],True,,[],[]
DB00787,Acyclovir,,[],,,[],[],True,,[],[]
DB00788,Naproxen,,[],,,[],[],True,,[],[]
DB00802,Alfentanil,,[],,,[],[],True,,[],[]
DB00808,Indapamide,,[],,,[],[],True,,[],[]
DB00813,Fentanyl,,[],,,[],[],True,,[],[]
DB00814,Meloxicam,,[],,,[],[],True,,[],[]
DB00815,Sodium lauryl sulfate,,[],,,[],[],True,,[],[]
DB00818,Propofol,,[],,,[],[],True,,[],[]
DB00829,Diazepam,,[],,,[],[],True,,[],[]
DB00842,Oxazepam,,[],,,[],[],True,,[],[]
DB00845,Clofazimine,,[],,,[],[],True,,[],[]
DB00847,Cysteamine,,[],,,[],[],True,,[],[]
DB00852,Pseudoephedrine,,[],,,[],[],True,,[],[]
DB00857,Terbinafine,,[],,,[],[],True,,[],[]
DB00864,Tacrolimus,,[],,,[],[],True,,[],[]
DB00870,Suprofen,,[],,,[],[],True,,[],[]
DB00878,Chlorhexidine,,[],,,[],[],True,,[],[]
DB00879,Emtricitabine,,[],,,[],[],True,,[],[]
DB00881,Quinapril,,[],,,[],[],True,,[],[]
DB00900,Didanosine,,[],,,[],[],True,,[],[]
DB00903,Etacrynic acid,,[],,,[],[],True,,[],[]
DB00908,Quinidine,,[],,,[],[],True,,[],[]
DB00912,Repaglinide,,[],,,[],[],True,,[],[]
DB00924,Cyclobenzaprine,,[],,,[],[],True,,[],[]
DB00931,Metacycline,,[],,,[],[],True,,[],[]
DB00936,Salicylic acid,,[],,,[],[],True,,[],[]
DB00938,Salmeterol,,[],,,[],[],True,,[],[]
DB00943,Zalcitabine,,[],,,[],[],True,,[],[]
DB00946,Phenprocoumon,,[],,,[],[],True,,[],[]
DB00950,Fexofenadine,,[],,,[],[],True,,[],[]
DB00951,Isoniazid,,[],,,[],[],True,,[],[]
DB00957,Norgestimate,,[],,,[],[],True,,[],[]
DB00959,Methylprednisolone,,[],,,[],[],True,,[],[]
DB00977,Ethinylestradiol,,[],,,[],[],True,,[],[]
DB00982,Isotretinoin,,[],,,[],[],True,,[],[]
DB00983,Formoterol,,[],,,[],[],True,,[],[]
DB00993,Azathioprine,,[],,,[],[],True,,[],[]
DB00995,Auranofin,,[],,,[],[],True,,[],[]
DB00997,Doxorubicin,,[],,,[],[],True,,[],[]
DB00999,Hydrochlorothiazide,,[],,,[],[],True,,[],[]
DB01006,Letrozole,,[],,,[],[],True,,[],[]
DB01009,Ketoprofen,,[],,,[],[],True,,[],[]
DB01015,Sulfamethoxazole,,[],,,[],[],True,,[],[]
DB01016,Glyburide,,[],,,[],[],True,,[],[]
DB01026,Ketoconazole,,[],,,[],[],True,,[],[]
DB01029,Irbesartan,,[],,,[],[],True,,[],[]
DB01032,Probenecid,,[],,,[],[],True,,[],[]
DB01039,Fenofibrate,,[],,,[],[],True,,[],[]
DB01044,Gatifloxacin,,[],,,[],[],True,,[],[]
DB01045,Rifampicin,,[],,,[],[],True,,[],[]
DB01050,Ibuprofen,,[],,,[],[],True,,[],[]
DB01053,Benzylpenicillin,,[],,,[],[],True,,[],[]
DB01056,Tocainide,,[],,,[],[],True,,[],[]
DB01057,Echothiophate,,[],,,[],[],True,,[],[]
DB01060,Amoxicillin,,[],,,[],[],True,,[],[]
DB01062,Oxybutynin,,[],,,[],[],True,,[],[]
DB01067,Glipizide,,[],,,[],[],True,,[],[]
DB01068,Clonazepam,,[],,,[],[],True,,[],[]
DB01069,Promethazine,,[],,,[],[],True,,[],[]
DB01072,Atazanavir,,[],,,[],[],True,,[],[]
DB01076,Atorvastatin,,[],,,[],[],True,,[],[]
DB01098,Rosuvastatin,,[],,,[],[],True,,[],[]
DB01104,Sertraline,,[],,,[],[],True,,[],[]
DB01110,Miconazole,,[],,,[],[],True,,[],[]
DB01115,Nifedipine,,[],,,[],[],True,,[],[]
DB01118,Amiodarone,,[],,,[],[],True,,[],[]
DB01120,Gliclazide,,[],,,[],[],True,,[],[]
DB01124,Tolbutamide,,[],,,[],[],True,,[],[]
DB01126,Dutasteride,,[],,,[],[],True,,[],[]
DB01132,Pioglitazone,,[],,,[],[],True,,[],[]
DB01133,Tiludronic acid,,[],,,[],[],True,,[],[]
DB01136,Carvedilol,,[],,,[],[],True,,[],[]
DB01137,Levofloxacin,,[],,,[],[],True,,[],[]
DB01142,Doxepin,,[],,,[],[],True,,[],[]
DB01147,Cloxacillin,,[],,,[],[],True,,[],[]
DB01159,Halothane,,[],,,[],[],True,,[],[]
DB01169,Arsenic trioxide,,[],,,[],[],True,,[],[]
DB01183,Naloxone,,[],,,[],[],True,,[],[]
DB01189,Desflurane,,[],,,[],[],True,,[],[]
DB01195,Flecainide,,[],,,[],[],True,,[],[]
DB01197,Captopril,,[],,,[],[],True,,[],[]
DB01212,Ceftriaxone,,[],,,[],[],True,,[],[]
DB01232,Saquinavir,,[],,,[],[],True,,[],[]
DB01234,Dexamethasone,,[],,,[],[],True,,[],[]
DB01235,Levodopa,,[],,,[],[],True,,[],[]
DB01236,Sevoflurane,,[],,,[],[],True,,[],[]
DB01238,Aripiprazole,,[],,,[],[],True,,[],[]
DB01241,Gemfibrozil,,[],,,[],[],True,,[],[]
DB01242,Clomipramine,,[],,,[],[],True,,[],[]
DB01264,Darunavir,,[],,,[],[],True,,[],[]
DB01275,Hydralazine,,[],,,[],[],True,,[],[]
DB01276,Exenatide,,[],,,[],[],True,,[],[]
DB01307,Insulin detemir,,[],,,[],[],True,,[],[]
DB01320,Fosphenytoin,,[],,,[],[],True,,[],[]
DB01324,Polythiazide,,[],,,[],[],True,,[],[]
DB01327,Cefazolin,,[],,,[],[],True,,[],[]
DB01328,Cefonicid,,[],,,[],[],True,,[],[]
DB01329,Cefoperazone,,[],,,[],[],True,,[],[]
DB01330,Cefotetan,,[],,,[],[],True,,[],[]
DB01364,Ephedrine,,[],,,[],[],True,,[],[]
DB01370,Aluminium,,[],,,[],[],True,,[],[]
DB01394,Colchicine,,[],,,[],[],True,,[],[]
DB01396,Digitoxin,,[],,,[],[],True,,[],[]
DB01397,Magnesium salicylate,,[],,,[],[],True,,[],[]
DB01418,Acenocoumarol,,[],,,[],[],True,,[],[]
DB01420,Testosterone propionate,,[],,,[],[],True,,[],[]
DB01581,Sulfamerazine,,[],,,[],[],True,,[],[]
DB01582,Sulfamethazine,,[],,,[],[],True,,[],[]
DB01587,Ketazolam,,[],,,[],[],True,,[],[]
DB01601,Lopinavir,,[],,,[],[],True,,[],[]
DB01611,Hydroxychloroquine,,[],,,[],[],True,,[],[]
DB01614,Acepromazine,,[],,,[],[],True,,[],[]
DB01621,Pipotiazine,,[],,,[],[],True,,[],[]
DB01622,Thioproperazine,,[],,,[],[],True,,[],[]
DB01623,Thiothixene,,[],,,[],[],True,,[],[]
DB01685,Topiroxostat,,[],,,[],[],True,,[],[]
DB01914,D-glucose,,[],,,[],[],True,,[],[]
DB03017,Lauric acid,,[],,,[],[],True,,[],[]
DB03193,Stearic acid,,[],,,[],[],True,,[],[]
DB03585,Oxyphenbutazone,,[],,,[],[],True,,[],[]
DB03600,Capric acid,,[],,,[],[],True,,[],[]
DB03796,Palmitic Acid,,[],,,[],[],True,,[],[]
DB04216,Quercetin,,[],,,[],[],True,,[],[]
DB04224,Oleic Acid,,[],,,[],[],True,,[],[]
DB04539,Glyphosate,,[],,,[],[],True,,[],[]
DB04557,Arachidonic Acid,,[],,,[],[],True,,[],[]
DB04574,Estrone sulfate,,[],,,[],[],True,,[],[]
DB04690,Camptothecin,,[],,,[],[],True,,[],[]
DB04711,Iodipamide,,[],,,[],[],True,,[],[]
DB04816,Dantron,,[],,,[],[],True,,[],[]
DB04828,Zomepirac,,[],,,[],[],True,,[],[]
DB04855,Dronedarone,,[],,,[],[],True,,[],[]
DB04861,Nebivolol,,[],,,[],[],True,,[],[]
DB04911,Oritavancin,,[],,,[],[],True,,[],[]
DB04951,Pirfenidone,,[],,,[],[],True,,[],[]
DB05134,Tanespimycin,,[],,,[],[],True,,[],[]
DB05294,Vandetanib,,[],,,[],[],True,,[],[]
DB05382,Iodine,,[],,,[],[],True,,[],[]
DB05521,Telaprevir,,[],,,[],[],True,,[],[]
DB05812,Abiraterone,,[],,,[],[],True,,[],[]
DB06119,Cenobamate,,[],,,[],[],True,,[],[]
DB06201,Rufinamide,,[],,,[],[],True,,[],[]
DB06209,Prasugrel,,[],,,[],[],True,,[],[]
DB06216,Asenapine,,[],,,[],[],True,,[],[]
DB06282,Levocetirizine,,[],,,[],[],True,,[],[]
DB06290,Simeprevir,,[],,,[],[],True,,[],[]
DB06412,Oxymetholone,,[],,,[],[],True,,[],[]
DB06480,Prucalopride,,[],,,[],[],True,,[],[]
DB06655,Liraglutide,,[],,,[],[],True,,[],[]
DB06705,Gadofosveset trisodium,,[],,,[],[],True,,[],[]
DB06710,Methyltestosterone,,[],,,[],[],True,,[],[]
DB06716,Fospropofol,,[],,,[],[],True,,[],[]
DB06796,Mangafodipir,,[],,,[],[],True,,[],[]
DB07402,Azapropazone,,[],,,[],[],True,,[],[]
DB07517,3-CARBOXY-4-METHYL-5-PROPYL-2-FURANPROPIONIC,,[],,,[],[],True,,[],[]
DB07565,Chloramphenicol succinate,,[],,,[],[],True,,[],[]
DB07992,Indoxyl sulfate,,[],,,[],[],True,,[],[]
DB08231,Myristic acid,,[],,,[],[],True,,[],[]
DB08496,(R)-warfarin,,[],,,[],[],True,,[],[]
DB08735,"R,S-Warfarin alcohol",,[],,,[],[],True,,[],[]
